"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"110","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:05:42,FALSE,NA,"1199011290657837058",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kalamabdulshaik",200,TRUE,FALSE,NA,NA
"111","@gauravstvnews @RamNiwas2918 @NIA_India @HMOIndia @PMOIndia take your notice in this terror acts, PFI try to provok… https://t.co/3x7LmSicW2",FALSE,0,"gauravstvnews",2019-11-25 17:05:01,TRUE,"1198830864160956416","1199011116564668421","2956621642","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bharat50463840",0,FALSE,FALSE,NA,NA
"112","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:04:32,FALSE,NA,"1199010994694971393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rsaroja70",200,TRUE,FALSE,NA,NA
"113","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:03:43,FALSE,NA,"1199010788582686721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hatefreeworldX",200,TRUE,FALSE,NA,NA
"114","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:01:44,FALSE,NA,"1199010291834478594",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meetpravin_1976",200,TRUE,FALSE,NA,NA
"115","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 17:00:58,FALSE,NA,"1199010098095382528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brumbyoz",200,TRUE,FALSE,NA,NA
"116","RT @Rameshkedia2: Bhakt- These two events are not related to each other.

We-then how modi related to ayodhya verdict

Bhakt- hahahaha 
#BJ…",FALSE,0,NA,2019-11-25 17:00:50,FALSE,NA,"1199010063156953088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maddyyyy0",21,TRUE,FALSE,NA,NA
"117","RT @OpIndia_com: Ever since the verdict was delivered, there has been continuous efforts to keep the Ayodhya verdict in the news.
https://t…",FALSE,0,NA,2019-11-25 17:00:39,FALSE,NA,"1199010017002708993",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PitchumaniH",26,TRUE,FALSE,NA,NA
"118","RT @PawanKalyan: My heartfelt Congratulations! to 
‘India Ahead’ channel.Wishing you very best.

On most important day in Indian History -…",FALSE,0,NA,2019-11-25 16:59:38,FALSE,NA,"1199009762152599552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Lucky91823870",2745,TRUE,FALSE,NA,NA
"119","RT @RanaAyyub: I spoke to @Slate on the anxiety of Being Muslim in India. On Kashmir, the Ayodhya verdict and everything else that    ails…",FALSE,0,NA,2019-11-25 16:59:11,FALSE,NA,"1199009649309171716",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1drahsanm",200,TRUE,FALSE,NA,NA
